trial,block,type,direction,stimulus,response,accuracy,rt,participant
8,main,incongruent,right,<<><<,right,1,548.0,9
9,main,incongruent,left,>><>>,left,1,546.0,9
10,main,congruent,right,>>>>>,right,1,481.0,9
11,main,congruent,right,>>>>>,right,1,497.0,9
12,main,congruent,left,<<<<<,left,1,499.0,9
13,main,incongruent,right,<<><<,right,1,580.0,9
14,main,incongruent,right,<<><<,right,1,548.0,9
15,main,congruent,left,<<<<<,left,1,598.0,9
16,main,incongruent,right,<<><<,right,1,519.0,9
17,main,congruent,left,<<<<<,left,1,577.0,9
18,main,incongruent,left,>><>>,left,1,599.0,9
19,main,incongruent,right,<<><<,right,1,550.0,9
20,main,congruent,right,>>>>>,right,1,414.0,9
1,practice,incongruent,right,<<><<,right,1,680.0,10
2,practice,congruent,left,<<<<<,left,1,328.0,10
3,practice,incongruent,right,<<><<,right,1,426.0,10
4,practice,incongruent,left,>><>>,right,0,338.0,10
1,main,incongruent,left,>><>>,left,1,514.0,10
2,main,incongruent,right,<<><<,right,1,445.0,10
3,main,incongruent,left,>><>>,left,1,512.0,10
4,main,congruent,right,>>>>>,right,1,377.0,10
5,main,congruent,left,<<<<<,left,1,394.0,10
6,main,incongruent,right,<<><<,right,1,447.0,10
7,main,congruent,right,>>>>>,right,1,376.0,10
8,main,incongruent,left,>><>>,left,1,429.0,10
9,main,incongruent,left,>><>>,left,1,463.0,10
10,main,congruent,left,<<<<<,left,1,394.0,10
11,main,congruent,left,<<<<<,left,1,359.0,10
12,main,congruent,left,<<<<<,left,1,377.0,10
13,main,congruent,left,<<<<<,left,1,359.0,10
14,main,incongruent,right,<<><<,right,1,429.0,10
15,main,incongruent,right,<<><<,right,1,447.0,10
16,main,incongruent,right,<<><<,right,1,514.0,10
17,main,incongruent,right,<<><<,right,1,546.0,10
18,main,incongruent,left,>><>>,left,1,513.0,10
19,main,congruent,left,<<<<<,left,1,394.0,10
20,main,incongruent,right,<<><<,right,1,431.0,10
1,practice,congruent,left,<<<<<,no_response,0,,11
2,practice,incongruent,right,<<><<,no_response,0,,11
3,practice,incongruent,right,<<><<,right,1,699.0,11
4,practice,incongruent,right,<<><<,right,1,546.0,11
1,main,congruent,left,<<<<<,left,1,948.0,11
2,main,incongruent,left,>><>>,left,1,583.0,11
3,main,congruent,right,>>>>>,right,1,479.0,11
4,main,incongruent,left,>><>>,left,1,532.0,11
5,main,congruent,left,<<<<<,left,1,501.0,11
6,main,incongruent,left,>><>>,left,1,601.0,11
7,main,incongruent,left,>><>>,left,1,497.0,11
8,main,incongruent,right,<<><<,right,1,445.0,11
9,main,incongruent,left,>><>>,left,1,546.0,11
10,main,congruent,left,<<<<<,left,1,447.0,11
11,main,congruent,right,>>>>>,right,1,363.0,11
12,main,congruent,right,>>>>>,right,1,562.0,11
13,main,congruent,left,<<<<<,left,1,446.0,11
14,main,incongruent,right,<<><<,right,1,380.0,11
15,main,incongruent,right,<<><<,right,1,545.0,11
16,main,congruent,right,>>>>>,right,1,542.0,11
17,main,congruent,left,<<<<<,left,1,395.0,11
18,main,incongruent,left,>><>>,left,1,532.0,11
19,main,congruent,right,>>>>>,right,1,481.0,11
20,main,congruent,left,<<<<<,left,1,393.0,11
1,practice,congruent,left,<<<<<,left,1,951.0,12
2,practice,congruent,left,<<<<<,left,1,768.0,12
3,practice,incongruent,left,>><>>,right,0,715.0,12
4,practice,congruent,right,>>>>>,right,1,653.0,12
1,main,congruent,left,<<<<<,left,1,513.0,12
2,main,incongruent,right,<<><<,right,1,653.0,12
3,main,incongruent,left,>><>>,left,1,1350.0,12
4,main,incongruent,left,>><>>,left,1,613.0,12
5,main,congruent,left,<<<<<,left,1,686.0,12
6,main,incongruent,right,<<><<,right,1,669.0,12
7,main,incongruent,left,>><>>,left,1,582.0,12
8,main,incongruent,left,>><>>,left,1,651.0,12
9,main,congruent,right,>>>>>,right,1,585.0,12
10,main,incongruent,right,<<><<,right,1,515.0,12
11,main,congruent,left,<<<<<,left,1,501.0,12
12,main,congruent,right,>>>>>,right,1,447.0,12
13,main,congruent,left,<<<<<,left,1,431.0,12
14,main,incongruent,left,>><>>,left,1,479.0,12
15,main,incongruent,left,>><>>,left,1,650.0,12
16,main,congruent,left,<<<<<,left,1,480.0,12
17,main,congruent,left,<<<<<,left,1,446.0,12
18,main,congruent,left,<<<<<,left,1,430.0,12
19,main,congruent,left,<<<<<,left,1,429.0,12
20,main,congruent,right,>>>>>,right,1,413.0,12
1,practice,incongruent,left,>><>>,left,1,2010.0,13
2,practice,incongruent,left,>><>>,left,1,792.0,13
3,practice,congruent,left,<<<<<,left,1,701.0,13
4,practice,congruent,right,>>>>>,right,1,511.0,13
1,main,congruent,left,<<<<<,left,1,596.0,13
2,main,congruent,left,<<<<<,left,1,478.0,13
3,main,congruent,right,>>>>>,right,1,496.0,13
4,main,incongruent,left,>><>>,left,1,682.0,13
5,main,incongruent,right,<<><<,right,1,683.0,13
6,main,incongruent,right,<<><<,right,1,584.0,13
7,main,incongruent,right,<<><<,right,1,550.0,13
8,main,incongruent,right,<<><<,right,1,582.0,13
9,main,congruent,left,<<<<<,left,1,463.0,13
10,main,congruent,right,>>>>>,right,1,481.0,13
11,main,congruent,right,>>>>>,right,1,481.0,13
12,main,congruent,left,<<<<<,left,1,426.0,13
13,main,incongruent,left,>><>>,left,1,581.0,13
14,main,incongruent,right,<<><<,right,1,567.0,13
15,main,congruent,left,<<<<<,left,1,480.0,13
16,main,incongruent,right,<<><<,right,1,565.0,13
17,main,incongruent,left,>><>>,left,1,515.0,13
18,main,incongruent,left,>><>>,left,1,581.0,13
19,main,incongruent,left,>><>>,left,1,514.0,13
20,main,congruent,left,<<<<<,left,1,582.0,13
1,practice,congruent,right,>>>>>,right,1,597.0,14
2,practice,incongruent,right,<<><<,right,1,590.0,14
3,practice,incongruent,left,>><>>,left,1,495.0,14
4,practice,incongruent,left,>><>>,right,0,397.0,14
1,main,congruent,left,<<<<<,left,1,567.0,14
2,main,incongruent,right,<<><<,right,1,532.0,14
3,main,congruent,right,>>>>>,right,1,479.0,14
4,main,incongruent,right,<<><<,right,1,548.0,14
5,main,incongruent,right,<<><<,right,1,602.0,14
6,main,congruent,right,>>>>>,right,1,429.0,14
7,main,incongruent,right,<<><<,right,1,567.0,14
8,main,congruent,right,>>>>>,right,1,445.0,14
9,main,congruent,left,<<<<<,left,1,394.0,14
10,main,incongruent,left,>><>>,left,1,567.0,14
11,main,incongruent,left,>><>>,left,1,497.0,14
12,main,incongruent,right,<<><<,right,1,596.0,14
13,main,congruent,right,>>>>>,right,1,429.0,14
14,main,incongruent,right,<<><<,right,1,626.0,14
15,main,incongruent,left,>><>>,left,1,497.0,14
16,main,congruent,right,>>>>>,right,1,463.0,14
17,main,congruent,left,<<<<<,left,1,394.0,14
18,main,congruent,right,>>>>>,right,1,362.0,14
19,main,congruent,left,<<<<<,left,1,362.0,14
20,main,congruent,right,>>>>>,right,1,446.0,14
1,practice,incongruent,right,<<><<,no_response,0,,15
2,practice,congruent,right,>>>>>,right,1,963.0,15
3,practice,incongruent,right,<<><<,no_response,0,,15
4,practice,incongruent,right,<<><<,left,0,665.0,15
1,main,congruent,left,<<<<<,left,1,481.0,15
2,main,congruent,right,>>>>>,right,1,396.0,15
3,main,congruent,right,>>>>>,right,1,386.0,15
4,main,incongruent,left,>><>>,left,1,395.0,15
5,main,congruent,right,>>>>>,right,1,344.0,15
6,main,incongruent,left,>><>>,left,1,410.0,15
7,main,incongruent,left,>><>>,right,0,396.0,15
8,main,incongruent,left,>><>>,left,1,429.0,15
9,main,incongruent,left,>><>>,left,1,411.0,15
10,main,incongruent,left,>><>>,right,0,328.0,15
11,main,incongruent,left,>><>>,left,1,325.0,15
12,main,congruent,left,<<<<<,left,1,328.0,15
13,main,congruent,left,<<<<<,left,1,327.0,15
14,main,congruent,left,<<<<<,left,1,292.0,15
15,main,congruent,left,<<<<<,left,1,243.0,15
16,main,congruent,left,<<<<<,left,1,277.0,15
17,main,congruent,left,<<<<<,left,1,244.0,15
18,main,congruent,right,>>>>>,left,0,311.0,15
19,main,congruent,right,>>>>>,right,1,347.0,15
20,main,congruent,left,<<<<<,left,1,292.0,15
1,practice,congruent,left,<<<<<,left,1,1490.0,16
2,practice,incongruent,left,>><>>,right,0,293.0,16
3,practice,congruent,right,>>>>>,right,1,554.0,16
4,practice,congruent,left,<<<<<,left,1,329.0,16
1,main,incongruent,right,<<><<,right,1,635.0,16
2,main,incongruent,right,<<><<,left,0,513.0,16
3,main,congruent,left,<<<<<,left,1,548.0,16
4,main,congruent,right,>>>>>,right,1,310.0,16
5,main,congruent,right,>>>>>,left,0,276.0,16
6,main,congruent,right,>>>>>,right,1,464.0,16
7,main,incongruent,right,<<><<,left,0,362.0,16
8,main,incongruent,left,>><>>,right,0,735.0,16
9,main,congruent,right,>>>>>,right,1,548.0,16
10,main,incongruent,right,<<><<,left,1,566.0,16
11,main,incongruent,left,>><>>,right,0,699.0,16
12,main,congruent,right,>>>>>,right,1,819.0,16
13,main,congruent,right,>>>>>,right,1,531.0,16
14,main,incongruent,left,>><>>,no_response,0,,16
15,main,congruent,left,<<<<<,left,1,531.0,16
16,main,congruent,right,>>>>>,right,1,414.0,16
17,main,incongruent,right,<<><<,right,1,665.0,16
18,main,incongruent,left,>><>>,right,0,939.0,16
19,main,incongruent,right,<<><<,left,1,702.0,16
20,main,incongruent,left,>><>>,right,0,666.0,16
